OBJECTID_1,OBJECTID,NAME,ACRES,SQMI,TYPE,GlobalID,ShapeSTArea,ShapeSTLength
16,,Erwin Road CN ,411.060835,0.64228255,CN,{F71F008C-A212-4135-8E31-744D97A652C2},17905810.1157227,31344.5819131412
17,,Ninth Street CN ,184.73239335,0.28864436,CN,{953BB25C-6862-42CC-B105-AC623673A579},8046943.30407715,15546.6899428199
18,,Urban,14086.30592332,22.00985301,URBAN,{B7B3FDA6-B9C3-4975-BF5A-0871827365D3},613636295.965088,212310.742907518
19,,Downtown ,728.03254824,1.13755086,DOWNTOWN,{DE3AE6C9-6BFF-40B4-A482-76C461E81229},31713097.0180664,36436.3273181999
20,,Alston Avenue CN ,254.74605022,0.3980407,CN,{08C2ECF0-785D-4503-891F-6DBA423288DD},11096738.5605469,16827.4161816608
21,,South Square / MLK CN ,703.49599534,1.09921249,CN,{97F50437-58AF-4F92-8D4C-E707FF25A8A8},30644285.329834,30912.0741146289
22,,Patterson Place CN ,602.47059477,0.9413603,CN,{2518C43A-2ECE-4962-BB57-641ABE15F53E},26243618.8422852,23963.8942523765
23,,Leigh Village CN ,361.13018352,0.56426591,CN,{B3D6BA75-585E-4384-8E9A-37070B3FABBE},15730830.6236572,18128.7608057352
24,,RTP North CN ,238.69561591,0.3729619,CN,{5633FF41-E946-4079-9D29-5C913E05571C},10397580.864502,21562.3318374131
25,,Metro North CN ,518.32142511,0.80987723,CN,{06125F92-4C55-4BF1-9EE3-45453A02DBC7},22578082.5238037,28128.3123380528
26,,Rural ,2913.86138513,4.55290841,RURAL,{6D70948B-43A2-43A7-B44A-56E613453C30},126927802.589233,81164.1760060742
27,,Rural ,1403.37732009,2.19277706,RURAL,{E006AE03-C5DC-4D63-BE2C-68C3B47CEE41},61131116.9526367,34382.5598834917
28,,Rural ,66053.87288708,103.20917639,RURAL,{ACDF9D5F-AAE8-41E0-A428-2BB1DBB105F6},2873287406.02478,476489.449500908
29,,Suburban,102195.81831959,159.68096612,SUBURBAN,{6F724A95-1E92-4380-9E99-53FECC6B0835},4455621397.6792,770023.963248732
