OBJECTID,ZONE_CODE,PDR,PDR_DENSIT,CASE_NO,LABEL,EDITOR,ACTION_,COMMENT_,ACRES,BOC_DATE,CITY_COUNC,MAP_EDIT_D,ERROR_FIX_,UDO,ZONE_GEN,UDO_LABEL,DEVELOP_PL,UDO_LEGEND,IN_DATE,PDR_RNG,GlobalID,ShapeSTArea,ShapeSTLength
1,RM-16, ,0,P93-63,RM-16, , , ,3.14983347,,1993/08/16 05:00:00+00,,,RU-M,RES_HIGH_DENSITY,RU-M, ,13 - RU-M,,,{D0348153-6610-4549-A9E2-64A6D49F0C0E},137206.318115234,1739.12697173416
2,I-2, ,0, ,I-2, , , ,19.27411826,,,,,IL,INDUSTRIAL,IL, ,21 - IL,,,{3065532A-ABC2-4F61-A60E-199742233B48},839577.974975586,4077.78818290709
3,CT, ,0, ,CT, , , ,29.99636138,,,,,IL,COMMERCIAL,IL, ,21 - IL,,,{BE31FC31-0BCD-4E17-92A4-42ACAFC6176A},1306637.43066406,8082.04865712504
4,OI-2, ,0,P93-77,OI-2, , , ,0.59825134,,1993/11/15 05:00:00+00,,,OI,OFFICE_INSTITUTIONAL,OI, ,18 - OI,,,{87016033-2624-483B-B743-074927B85FB9},26059.7469482422,660.593035369332
5,RD, ,0,Z07-41,RD, , ,"P94-49;P02-47;P03-69;P04-25;Z06-05A",8.36194501,2009/09/14 05:00:00+00,2003/01/21 05:00:00+00,,,RS-10,RES_RURAL_DENSITY,RS-10(D),(D), 8 - RS-10,2009/09/14 05:00:00+00,,{93E3FEB2-DF1E-45FD-B53A-2BD55F303FA8},364245.189819336,3561.97730889228
6,CT, ,0, ,CT, , , ,1.94857898,,,,,IL,COMMERCIAL,IL, ,21 - IL,,,{321ACE44-3A3E-4FB6-BEDA-B0AD1BE402DA},84879.8354492188,1321.37779667885
7,RM-12, ,0, ,RM-12, , ,P87-45,0.19127248,,,,,RS-M,RES_HIGH_DENSITY,RS-M, ,10 - RS-M,,,{FF636A11-802E-4835-A770-07DDB89CC230},8331.80310058594,441.522354597849
8,NC, ,0, ,NC, , , ,1.98571576,,,,,CN,COMMERCIAL,CN, ,17 - CN,,,{9CF9B0CD-C33E-4125-8E8B-21CAB4F5C920},86497.5089111328,1567.71455840635
9,,,,Z1800030,CSD-S1,Rob, ,,422.93936799,,2019/08/05 05:00:00+00,2019/08/14 22:05:34+00,,CSD-S1,COMPACT SUBURBAN DESIGN,CSD-S1, ,47 - CSD-S1,,,{F484E697-AF21-4373-8813-2A24995B89A1},18423181.4633789,29400.030689263
10,R-20, ,0,P98-83,R-20, , , ,21.95017923,1999/06/28 05:00:00+00,,,,RS-20,RES_LOW_DENSITY,RS-20, , 7 - RS-20,,,{2AB56255-B393-451B-A58D-3CCE4F137030},956146.82800293,4710.72039355689
11,NC, ,0, ,NC, , ,P79-31,4.77810244,,,,,CN,COMMERCIAL,CN, ,17 - CN,,,{85B311A7-66EE-41CD-92B7-4B9B84E0D1FD},208133.493652344,1842.538982377
12,R-8, ,0, ,R-8, , , ,179.3691344,,,,,RS-8,RES_MEDIUM_DENSITY,RS-8, , 9 - RS-8,,,{54F2F5C6-440C-45B6-AAEF-DAAA709CCC6F},7813295.14880371,18422.3167166294
13,PDR,Y,2.01999998,P98-53,PDR   2.020, , ,"P91-37;P91-15",70.35950275,1999/02/01 05:00:00+00,,,,PDR,RES_LOW_DENSITY,PDR 2.020,(D), 2 - PDR-LDR (2 - 4 du/ac),,PDR-LDR,{7E72C2F0-4B0B-4619-81F2-64AA38198B30},3064850.39013672,8435.7895806722
14,, ,0,Z1000003,, , ,"P91-42;Z0900016",4.98596752,,2010/08/02 05:00:00+00,,,DD-S2,DOWNTOWN DESIGN-SUPPORT 2,DD-S2, ,29 - DD-S2,2010/08/02 05:00:00+00,,{94967BB3-6133-4D5D-937E-5D2C1EFB8304},217188.068481445,2643.92232049666
15,R-3, ,0,,R-3, , , ,54.28002134,,1985/04/01 05:00:00+00,,,RU-5(2),RES_HIGH_DENSITY,RU-5(2), ,12 - RU-5(2),,,{4C5DA788-C489-49D7-BC63-B564B8040677},2364430.36328125,10256.9147489118
16,RM-12, ,0, ,RM-12,LDW , , ,2.09867711,,2016/08/15 05:00:00+00,2016/09/06 05:00:00+00,,CN,COMMERCIAL,CN(D),D,17 - CN,,,{DF885BB3-3169-49E9-8768-1C28249ED5DE},91418.0900878906,1284.53405090231
17,NC, ,0, ,NC, , ,P87-54,0.53141002,,,,,CN,COMMERCIAL,CN, ,17 - CN,,,{DB113B3F-769D-456C-8251-83B66B0C24B9},23148.1483154297,662.029480803771
18,R-20, ,0, ,R-20, , , ,53.10455155,,,,,RS-20,RES_LOW_DENSITY,RS-20, , 7 - RS-20,,,{8A1B8C95-4D9B-4226-876A-204C38432CA8},2313227.05773926,10903.118825817
